22:52:38.254 [main] INFO  ball.game.BallGame - User picked swing window interface
22:52:41.027 [AWT-EventQueue-0] INFO  ball.game.Board - Checking field has wall / table end on provided coordinates 7,13
22:52:41.027 [AWT-EventQueue-0] INFO  ball.game.Board - Ball reached cell 7,12
22:52:47.910 [AWT-EventQueue-0] INFO  ball.game.Board - Reading game from file
22:52:47.910 [AWT-EventQueue-0] INFO  ball.game.Board - Reading game board from xml
22:52:47.922 [AWT-EventQueue-0] INFO  ball.game.Board - Creating game board
22:52:47.922 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up board goal cell 9,4
22:52:47.922 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 0,1
22:52:47.922 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 0,7
22:52:47.923 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 1,4
22:52:47.923 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 1,12
22:52:47.923 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 3,5
22:52:47.923 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 3,11
22:52:47.923 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 4,2
22:52:47.923 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 5,7
22:52:47.924 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 5,9
22:52:47.938 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 6,6
22:52:47.938 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 6,12
22:52:47.938 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 8,0
22:52:47.938 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 8,8
22:52:47.938 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 9,3
22:52:47.939 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 9,5
22:52:47.939 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 10,4
22:52:47.939 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 11,7
22:52:47.939 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up wall on the board 11,11
22:52:47.939 [AWT-EventQueue-0] INFO  ball.game.Board - Setting up ball on 2,8
